T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,Type,Architecture,Weight type,Precision,Merged,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,Flagged,MoE
🤝,Kukedlc/NeuralSirKrishna-7b,76.6,73.72,89.05,64.63,75.6,85.32,71.27,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,4.0,True,38905a9bf8b4c000a99daaea69e63c15efbbc152,False,False
🔶,rwitz/experiment26-truthy-iter-2,76.6,73.38,89.11,64.36,77.3,85.0,70.43,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,mit,7.24,0.0,True,1dc4edde961960f7263dc3bdd37ca9e9f7e451ea,False,False
🤝,nlpguy/AlloyIngotNeoY,76.59,72.78,89.12,64.32,77.99,85.08,70.28,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,e90d4a4a13d5ff4d3bee099212ffc1e1985d8236,False,False
🤝,MiniMoog/Mergerix-7b-v0.4,76.59,73.04,89.13,64.39,78.11,84.85,70.05,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,a3afcca8c81e2af12cee671eab681fdf0d84cf9b,False,False
🔶,chlee10/T3Q-Merge-Mistral7B,76.59,72.95,89.15,64.44,77.96,85.0,70.05,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,3.0,True,03405145ca06170f1b2e0acc838f573f0e090df8,False,False
💬,152334H/miqu-1-70b-sf,76.59,73.04,88.61,75.49,69.38,85.32,67.7,"chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,float16,False,,68.98,211.0,False,97c24b15a7e26985fb18540800516aa2ac03ad03,False,False
🔶,LeroyDyer/Mixtral_AI_Cyber_3.m1,76.59,74.06,88.96,64.45,77.67,85.0,69.37,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,openrail,7.24,0.0,False,0da1865ae1ce682d4002dd9935d20520e79ed520,False,False
🔶,MaziyarPanahi/YamshadowStrangemerges_32_Experiment24Ognoexperiment27,76.58,73.38,89.17,64.43,78.13,84.85,69.52,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,7268835c564a6cfb68af6629a1a97d0f65673064,False,False
🔶,MaziyarPanahi/M7Yamshadowexperiment28_Strangemerges_30Experiment26,76.58,73.38,89.17,64.43,78.13,84.85,69.52,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,da0298647df3ad2706eb5e89b778e6c164587bd0,False,False
🔶,yam-peleg/Experiment31-7B,76.58,73.55,89.19,64.36,78.31,85.0,69.07,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,1.0,True,a27e0dfaf79af8da32fc4ff6c5eb8be46c9f5a13,False,False
🔶,MaziyarPanahi/Experiment26Yam_Ognoexperiment27Multi_verse_model,76.58,72.87,89.23,64.35,78.12,85.08,69.83,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,09738c93da80378b98d00e3c0a772f2e3b63ed83,False,False
🔶,MaziyarPanahi/M7Yamshadowexperiment28_Experiment26T3q,76.58,72.95,89.17,64.45,78.36,85.0,69.52,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,44f789b657821002456ef67bc15de54baec69606,False,False
🔶,MaziyarPanahi/YamshadowInex12_Experiment26T3q,76.58,72.95,89.26,64.45,78.35,84.93,69.52,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,7e2a29eeec2b2d48c485b020ffa9bc9b7166f640,False,False
🔶,Kukedlc/NeuralArjuna-7B-DT,76.58,73.12,88.97,64.63,76.68,85.24,70.81,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,1.0,True,ac404e8a016bc77dce533c8746daedd5cefa8cb3,False,False
🔶,yam-peleg/Experiment31-7B,76.57,73.55,89.14,64.29,78.43,85.16,68.84,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,1.0,True,a27e0dfaf79af8da32fc4ff6c5eb8be46c9f5a13,False,False
🔶,nbeerbower/HeroBophades-2x7B,76.56,73.12,89.12,64.66,77.87,85.24,69.37,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,apache-2.0,12.88,0.0,True,b2d7c024e997bee9b93a2216128e3f3732c7843e,False,True
🔶,yam-peleg/Experiment24-7B,76.56,73.81,89.06,64.34,78.54,85.16,68.46,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,b7f5aa8d4c899c175a1dad40a03b4071df90bd8e,False,False
🤝,mlabonne/Zebrafish-7B,76.56,73.12,89.13,64.36,77.92,84.93,69.9,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,cc-by-nc-4.0,7.24,12.0,True,b88aacba35524dd4cb11f931bb502ecba2849482,False,False
💬,zhengr/MixTAO-7Bx2-MoE-Instruct-v7.0,76.55,74.23,89.37,64.54,74.26,87.77,69.14,"chat models (RLHF, DPO, IFT, ...)",MixtralForCausalLM,Original,bfloat16,False,apache-2.0,12.88,17.0,True,69b9280ee4d2a20ef5645798621e62dd9777c139,False,True
🤝,bobofrut/ladybird-base-7B-v8,76.55,73.21,89.19,64.39,76.82,85.32,70.36,base merges and moerges,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,2.0,True,4774173a54be9a648e1cf03248af3ae3d51a0434,False,False
🤝,automerger/ShadowYamshadow-7B,76.54,72.7,88.99,64.65,78.1,84.85,69.98,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,882a7d1f6d25f7f1363074f608ad8f78c26812a0,False,False
🤝,jsfs11/MixtureofMerges-MoE-2x7b-v7,76.54,73.21,89.05,64.63,78.34,84.93,69.07,base merges and moerges,MixtralForCausalLM,Original,bfloat16,True,apache-2.0,12.88,0.0,True,abf8d9dc6522658ab943bf69c475f899d66bcc20,False,True
🔶,222limin/Nexim-7b,76.53,73.04,89.1,64.48,77.68,84.77,70.13,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,False,a585b520352fc0d9fc68f811d3e2c903ef4230ec,False,False
🔶,Kukedlc/NeuralContamination-7B-ties,76.53,73.46,88.9,64.76,76.71,85.0,70.36,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,8e01722995275d4b8a6943fb207977a5bde0829e,False,False
🤝,nbeerbower/slerp-bophades-truthy-math-mistral-7B,76.53,72.87,89.17,64.69,77.82,85.4,69.22,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,4fbcc73a06810a056a15770dc2bde6be147c0a79,False,False
🔶,Kukedlc/Neural-Krishna-Multiverse-7b-v3,76.53,72.87,89.07,64.55,77.39,84.93,70.36,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,26b8fbb836dbc8a72412db625ab2de858c60bad4,False,False
🔶,yam-peleg/Experiment29-7B,76.53,73.12,89.06,64.49,78.72,85.0,68.76,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,1.0,True,11a51df04f85047e166d63eb64cedc1ec02732a1,False,False
🤝,automerger/Strangemerges_32Yamshadow-7B,76.53,72.95,88.88,64.52,78.06,84.77,69.98,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,4efa1c02b2a14eda16906102992ae2fb7c6c06a5,False,False
🔶,yam-peleg/Experiment30-7B,76.53,73.46,89.09,64.4,77.76,84.85,69.6,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,True,ff261dadc107d0ce67b836a052d7131f9d9e4260,False,False
🔶,automerger/NeuralsirkrishnaExperiment26-7B,76.52,73.89,89.14,64.32,77.25,84.85,69.67,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,d9d92b2ae2ce1dd459170896bb5eff9325660916,False,False
🤝,Gille/StrangeMerges_30-7B-slerp,76.52,74.15,89.15,64.65,76.12,84.85,70.2,base merges and moerges,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,82906a18499932d2a6f029a2782839390e5ef811,False,False
🔶,nbeerbower/bophades-mistral-math-DPO-7B,76.52,72.95,89.03,64.62,77.5,85.56,69.45,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,apache-2.0,7.24,0.0,True,e4c2cbaf973504959483acca89f5bc284b0f2f14,False,False
🤝,automerger/OgnoExperiment27-7B,76.51,73.38,89.4,64.43,78.41,84.85,68.61,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,2.0,True,4c81b65d91016bbec6479f6ff839ebe6985abac8,False,False
🤝,automerger/Inex12Yamshadow-7B,76.51,72.44,88.86,64.63,78.19,84.93,70.05,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,5abfe1d88edb9a2a860c600c696a694b147accc5,False,False
🔶,MiniMoog/Mergerix-7b-v0.5,76.51,73.38,89.13,64.44,78.07,84.69,69.37,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,bf89996388df62c778371fae0e81fbcf6352787f,False,False
🔶,CorticalStack/shadow-clown-7B-dare,76.51,72.61,88.86,64.44,78.33,85.24,69.6,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,1.0,True,f292aba5b64521ba8e0d5e8469d1380394ff22f9,False,False
🤝,automerger/PasticheInex12-7B,76.51,73.81,89.25,64.76,77.56,85.0,68.69,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,8916b8fab824480388c1aa6e72f81c1fc752cc5d,False,False
🤝,Kukedlc/Neural-4-QA-7b,76.51,72.44,89.17,64.29,79.54,85.0,68.61,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,c2ca755b804cf8da6cd8f0aa54f695cb4465bc7f,False,False
🔶,CorticalStack/pastiche-crown-clown-7b-dare-dpo,76.5,72.78,89.15,64.51,78.8,84.85,68.92,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,1e1cd6e84d02a9c1d70c2a2037f485bc2b646391,False,False
🤝,louisgrc/Montebello_7B_SLERP,76.5,72.95,89.07,64.56,79.33,84.77,68.31,base merges and moerges,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,1097b6038dc48f86382cacb1a27c76faacf8f607,False,False
🔶,Kukedlc/Neural-Krishna-Multiverse-7b-v2,76.49,72.95,89.06,64.62,77.35,84.69,70.28,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,8bacb25bdd4a81b7725c6d72845f5e1519b0a1b0,False,False
🔶,MSL7/INEX16-7b,76.49,73.12,89.1,64.56,77.35,84.45,70.36,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,def8a359e2fb6ee05ecda3577f158d9838b029c4,False,False
🔶,MaziyarPanahi/Calme-7B-Instruct-v0.1.1,76.49,72.95,89.26,64.32,78.1,85.16,69.14,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,9.0,True,22a9da7289d20a1d5452f77aa5bc49e97344af52,False,False
💬,mlabonne/UltraMerge-7B,76.49,73.04,89.25,64.4,78.17,84.85,69.22,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,False,cc-by-nc-4.0,7.24,6.0,True,cd343f0846ceb4180297920b2da50d6b28dcb242,False,False
🔶,alchemonaut/BoreanGale-70B,76.48,73.89,89.37,75.19,68.6,84.53,67.32,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,True,other,68.98,4.0,True,f7768207c1f37d3f4374dccc182d7a86c6539ead,False,False
🤝,ichigoberry/pandafish-dt-7b,76.48,72.7,89.23,64.55,78.19,84.93,69.29,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,3.0,True,b194caca2950a5cd84f7c4f666e1390e81375cfb,False,False
🔶,cloudyu/Truthful_DPO_cloudyu_Mixtral_34Bx2_MoE_60B,76.48,71.25,85.24,77.28,66.74,84.29,74.07,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,mit,60.81,0.0,True,6ba7b5acb65dd62c28585cba298e0d3671c14f3a,False,True
🔶,yam-peleg/Experiment27-7B,76.47,73.55,89.13,64.45,78.7,84.93,68.08,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,2b81b03b242a548e54e9e10af6a4c24f24a4c5fc,False,False
🔶,CorticalStack/pastiche-crown-clown-7b-dare,76.46,73.81,89.09,64.65,76.55,84.85,69.83,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,1.0,True,6e4720f8466ceb624e2a60986fe1fc00cf9a75cd,False,False
🤝,nbeerbower/bophades-v2-mistral-7B,76.45,73.38,89.16,64.83,76.82,85.4,69.14,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,3d83f4343b58e9cf47ffbdc7dd642d2597d905a6,False,False
🤝,mayacinka/yam-jom-7B-slerp,76.45,72.7,89.02,64.64,77.77,84.69,69.9,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,24f3ae950139f9962e34003d567ba2825ec39e64,False,False
🤝,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,76.45,73.12,89.09,64.8,77.45,84.77,69.45,base merges and moerges,MistralForCausalLM,Original,float16,False,cc-by-nc-4.0,7.24,4.0,True,f92057866ff68bf215487d34ca1080707bb4e98c,False,False
🤝,mayacinka/yam-jom-7B-ties,76.44,73.21,89.05,64.77,77.51,84.53,69.6,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,f57717445a39fdaf5cae2eafb2c46576e4481e6d,False,False
🤝,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO-v2,76.44,73.12,89.07,64.8,77.46,84.69,69.52,base merges and moerges,MistralForCausalLM,Original,float16,False,cc-by-nc-4.0,7.24,0.0,True,c00b0fa78ab41aec778209fdf7640ebbe6d83065,False,False
🤝,automerger/ShadowYam-7B,76.44,73.21,89.07,64.49,78.05,84.77,69.07,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,0525f9aa8d500470fcf80f7b20390c1533c73a1c,False,False
🔶,cloudyu/Yi-34Bx2-MoE-60B-DPO,76.44,71.25,85.1,77.36,66.24,84.77,73.92,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,other,60.81,2.0,True,3d0181b920304bca0bdfd41aff55188a574c85e3,False,True
🤝,Kukedlc/NeuralKuke-4-All-7b,76.44,73.46,89.01,64.67,75.38,84.77,71.34,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,8e209b054266a1db8a90dce6776ce994d9479551,False,False
💬,MSL7/INEX8-7B,76.44,73.29,89.19,64.47,77.83,84.85,68.99,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,True,apache-2.0,7.24,1.0,True,4b63f8040ad51f7d265722fa65758a4d7e6acec3,False,False
🤝,macadeliccc/SmaugDolphin-60B,76.44,73.38,86.55,76.78,67.44,83.5,70.96,base merges and moerges,MixtralForCausalLM,Original,bfloat16,True,other,60.81,1.0,True,cf8bc1d4103c4fde2a3da0cf86bdfcec95f5fe35,False,True
🔶,chihoonlee10/T3Q-EN-DPO-Mistral-7B,76.43,73.04,89.3,64.13,78.71,85.32,68.08,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,b1ec306bf85762b28ce29ac71924bb9a8fa01e5a,False,False
🤝,automerger/Experiment28Yam-7B,76.43,72.61,89.12,64.37,78.26,84.85,69.37,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,57a3a968556a2a937b1ffae72214071af096c70a,False,False
🔶,eren23/ogno-monarch-jaskier-merge-7b,76.43,73.04,89.09,64.78,77.44,84.77,69.45,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,cc-by-nc-4.0,7.24,2.0,True,a1179e6c346ba93db60c45d6d219ca86f2260102,False,False
🤝,louisgrc/Marengoli_7B_SLERP,76.42,73.63,89.24,64.68,77.23,85.08,68.69,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,86b0adb1715855794161ba18db1c115f7ffa6ad7,False,False
🔶,Kukedlc/Ramakrishna-7b-v3,76.42,73.63,89.0,64.57,76.67,84.45,70.2,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,ea88953423fb5a18feef2f27954c8af1a5b5a489,False,False
🔶,jefferylovely/AiMaven-Merkaba-7b,76.42,73.21,89.03,64.53,78.3,84.61,68.84,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,False,cc-by-nc-4.0,7.24,0.0,True,af1576f357ce8c5c3ee2e8bda45f8ffd7e0535f0,False,False
🤝,automerger/Experiment27Neuralsirkrishna-7B,76.41,73.21,89.04,64.62,77.4,84.85,69.37,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,6be791ab6dff0e9b0e222743d2973717ef5250c1,False,False
🤝,AurelPx/Pegasus-7b-slerp,76.41,72.7,89.05,64.47,77.13,85.0,70.13,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,1.0,True,2c42b3c5aa99602ffe02ff1a0702d6a40e6cb426,False,False
🤝,arcee-ai/Clown-DPO-Extended,76.41,73.12,89.09,64.52,78.78,84.69,68.23,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,8.99,1.0,True,a6c74a9d47c1c311d8387877f85c4ae0f70eacca,False,False
🔶,bardsai/jaskier-7b-dpo-v5.6,76.41,73.04,89.0,64.38,77.81,84.53,69.67,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,cc-by-4.0,7.24,26.0,True,25c0f5c1edad0ed1ab02347adf02fe03e0a3b62a,False,False
🔶,JaeyeonKang/CCK_Asura_v2.1,76.41,72.53,88.75,74.96,67.33,85.87,68.99,fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,False,cc-by-nc-4.0,68.98,0.0,True,546cdd443abc56b48aaadb4ebb5fb9249015f0bb,False,False
🤝,liminerity/Neurotic-Jomainotrik-7b-slerp,76.4,72.95,89.15,64.28,77.64,85.4,68.99,base merges and moerges,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,1.0,True,c9925fc46ab14f2b2d3200802555d6bd3cc8c61b,False,False
🔶,yam-peleg/Experiment25-7B,76.4,73.21,89.01,64.45,78.49,85.4,67.85,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,aa6e42036cea01cb99426a9333481b353fd36e61,False,False
🔶,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO-v3,76.4,73.04,89.11,64.79,77.48,84.77,69.22,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,cc-by-nc-4.0,7.24,0.0,True,dd1a314a04b8b4faf33e7d5037a71246d3e65bad,False,False
🔶,weezywitasneezy/BenchmarkEngineering-7B-slerp,76.4,74.15,89.09,64.69,75.93,85.32,69.22,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,cc-by-nc-4.0,7.24,0.0,True,700bdc966daece2f8e064becb51bd73215244037,False,False
🤝,automerger/Experiment29Pastiche-7B,76.39,73.04,88.91,64.7,77.72,84.69,69.29,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,3c1ea214fb1114e18d3a52eebdf29852a40bee6c,False,False
🤝,Kquant03/Kaltsit-16x7B-bf16,76.38,73.46,88.92,64.62,75.63,84.53,71.11,base merges and moerges,MixtralForCausalLM,Original,bfloat16,True,apache-2.0,91.8,0.0,True,fd3605c2b349939acfbd8a63bf08b8247b005485,False,True
🔶,CorticalStack/neurotic-crown-clown-7b-tak-stack-dpo,76.38,72.44,88.73,64.56,78.37,83.82,70.36,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,1.0,True,ec27a21a66dc4411f24f36d585787853ba2e6354,False,False
🔶,CultriX/MonaTrix-v4,76.38,73.38,89.11,64.08,78.02,84.85,68.84,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,1.0,True,323db6a9bd5ce5e56e663a954838f446b3aeb385,False,False
🔶,CorticalStack/neurotic-crown-clown-7b-ties,76.38,72.35,88.61,64.77,76.5,84.69,71.34,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,apache-2.0,7.24,0.0,True,c990d5a67bb589e73c355a81e99940c8d7155c34,False,False
💬,jan-hq/stealth-v2,76.37,73.89,89.26,64.94,72.47,88.0,69.67,"chat models (RLHF, DPO, IFT, ...)",MixtralForCausalLM,Original,bfloat16,False,apache-2.0,12.88,3.0,True,d718acb1b95c85009db8dd34af1318bcaf23ebcd,False,False
🤝,eldogbbhed/NeuralBeagleJaskier,76.37,73.21,89.05,64.47,77.08,84.37,70.05,base merges and moerges,MistralForCausalLM,Original,float16,True,cc-by-nc-4.0,7.24,0.0,True,b2102db3ca9307b5a84c5b89727e1341cdcd6ae7,False,False
🔶,Kukedlc/NeuralKrishnaMath-7B-slerp,76.37,73.29,88.92,64.67,75.52,84.93,70.89,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,b2619e24f8b91f9e8328fc74f8259d4f87965351,False,False
🔶,bardsai/jaskier-7b-dpo-v6.1,76.36,73.29,88.89,64.39,77.47,84.69,69.45,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,cc-by-4.0,7.24,9.0,True,aa3528c04c38fa49b5b65e1d064c46db3e9774f1,False,False
🔶,eren23/ogno-monarch-jaskier-merge-7b-v2,76.35,72.87,89.15,64.77,77.76,84.29,69.29,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,True,cc-by-nc-4.0,7.24,0.0,True,0468ff62a3f4b152a80c9acf34a8419b01bb9569,False,False
💬,bardsai/jaskier-7b-dpo-v4.3,76.35,72.61,89.09,64.29,78.27,84.77,69.07,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,False,cc-by-4.0,7.24,0.0,False,dc22b7692b8d54575545f1614029ebc898c9a6e7,False,False
🤝,nbeerbower/strange_3236-7B,76.35,73.21,88.96,64.78,77.6,84.77,68.76,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,4f72a5270fadf90343354174bd37b796540b822e,False,False
🤝,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO-v4-test,76.34,73.12,89.09,64.79,77.52,84.69,68.84,base merges and moerges,MistralForCausalLM,Original,float16,False,cc-by-nc-4.0,7.24,0.0,True,ff89febead2585b2a1efae12b53887b18c283a8a,False,False
🔶,chihoonlee10/T3Q-DPO-Mistral-7B,76.34,72.78,89.29,64.25,78.57,84.93,68.23,fine-tuned on domain-specific datasets,MistralForCausalLM,Original,float16,False,apache-2.0,7.24,0.0,True,87382cefca257137b983fd01d0e6a8839704d75e,False,False
🤝,paulml/OGNO-7B,76.34,73.12,89.0,64.59,76.52,84.69,70.13,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,cc-by-nc-4.0,7.24,17.0,True,a5d97f2e6962dc2c539a5bbca6a1160f87ccce84,False,False
🤝,Gille/StrangeMerges_43-7B-dare_ties,76.33,73.55,89.05,64.8,75.72,84.77,70.13,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,be1fb5b492bb23ea2b58cbe3e598268013ce52db,False,False
🔶,nbeerbower/HeroBophades-3x7B,76.33,73.29,89.11,64.73,77.63,85.0,68.23,fine-tuned on domain-specific datasets,MixtralForCausalLM,Original,bfloat16,False,apache-2.0,18.52,0.0,True,9176102042611719ace739dbe406bfe3d05636ce,False,True
💬,ammarali32/MultiVerse_LASER,76.33,72.53,88.81,64.52,77.7,84.93,69.52,"chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,False,?,7.24,0.0,False,7385d3aa94cebfb10f983bc905fea3e83c4a4e3c,False,False
🤝,Gille/StrangeMerges_25-7B-dare_ties,76.33,73.46,88.89,64.37,76.54,84.29,70.43,base merges and moerges,MistralForCausalLM,Original,bfloat16,True,apache-2.0,7.24,0.0,True,6918e7ea07572b932ba43e7e339cc79406b75e30,False,False
